"char1","n","chapter","book","prob"
" ",362,57,1,0.194623655913978
"a",126,57,1,0.067741935483871
"b",19,57,1,0.0102150537634409
"c",65,57,1,0.0349462365591398
"d",67,57,1,0.0360215053763441
"e",166,57,1,0.089247311827957
"f",35,57,1,0.0188172043010753
"g",31,57,1,0.0166666666666667
"h",64,57,1,0.0344086021505376
"i",119,57,1,0.0639784946236559
"j",3,57,1,0.00161290322580645
"k",16,57,1,0.00860215053763441
"l",59,57,1,0.0317204301075269
"m",28,57,1,0.0150537634408602
"n",132,57,1,0.0709677419354839
"o",114,57,1,0.0612903225806452
"p",33,57,1,0.017741935483871
"q",4,57,1,0.0021505376344086
"r",93,57,1,0.05
"s",76,57,1,0.0408602150537634
"t",142,57,1,0.0763440860215054
"u",37,57,1,0.0198924731182796
"v",19,57,1,0.0102150537634409
"w",24,57,1,0.0129032258064516
"x",2,57,1,0.0010752688172043
"y",24,57,1,0.0129032258064516
" ",106,58,1,0.193078324225865
"a",41,58,1,0.0746812386156648
"b",5,58,1,0.00910746812386157
"c",18,58,1,0.0327868852459016
"d",12,58,1,0.0218579234972678
"e",50,58,1,0.0910746812386157
"f",12,58,1,0.0218579234972678
"g",9,58,1,0.0163934426229508
"h",22,58,1,0.0400728597449909
"i",33,58,1,0.0601092896174863
"k",4,58,1,0.00728597449908925
"l",18,58,1,0.0327868852459016
"m",11,58,1,0.0200364298724954
"n",38,58,1,0.0692167577413479
"o",29,58,1,0.0528233151183971
"p",12,58,1,0.0218579234972678
"q",1,58,1,0.00182149362477231
"r",20,58,1,0.0364298724954463
"s",34,58,1,0.0619307832422587
"t",40,58,1,0.0728597449908925
"u",9,58,1,0.0163934426229508
"v",4,58,1,0.00728597449908925
"w",16,58,1,0.029143897996357
"x",1,58,1,0.00182149362477231
"y",4,58,1,0.00728597449908925
" ",168,59,1,0.191562143671608
"a",63,59,1,0.0718358038768529
"b",9,59,1,0.0102622576966933
"c",27,59,1,0.0307867730900798
"d",25,59,1,0.0285062713797035
"e",78,59,1,0.088939566704675
"f",10,59,1,0.0114025085518814
"g",16,59,1,0.0182440136830103
"h",41,59,1,0.0467502850627138
"i",55,59,1,0.0627137970353478
"j",4,59,1,0.00456100342075257
"k",10,59,1,0.0114025085518814
"l",34,59,1,0.0387685290763968
"m",29,59,1,0.0330672748004561
"n",42,59,1,0.0478905359179019
"o",41,59,1,0.0467502850627138
"p",17,59,1,0.0193842645381984
"q",1,59,1,0.00114025085518814
"r",50,59,1,0.0570125427594071
"s",41,59,1,0.0467502850627138
"t",58,59,1,0.0661345496009122
"u",19,59,1,0.0216647662485747
"v",6,59,1,0.00684150513112885
"w",26,59,1,0.0296465222348917
"y",7,59,1,0.00798175598631699
" ",792,60,1,0.185610499179752
"a",258,60,1,0.0604640262479494
"b",56,60,1,0.0131239746894774
"c",146,60,1,0.0342160768689946
"d",126,60,1,0.0295289430513241
"e",409,60,1,0.0958518865713616
"f",84,60,1,0.0196859620342161
"g",71,60,1,0.0166393250527303
"h",157,60,1,0.0367940004687134
"i",277,60,1,0.0649168033747363
"j",3,60,1,0.000703070072650574
"k",48,60,1,0.0112491211624092
"l",162,60,1,0.037965783923131
"m",101,60,1,0.023670025779236
"n",255,60,1,0.0597609561752988
"o",238,60,1,0.0557768924302789
"p",68,60,1,0.0159362549800797
"q",5,60,1,0.00117178345441762
"r",223,60,1,0.052261542067026
"s",215,60,1,0.0503866885399578
"t",289,60,1,0.0677290836653386
"u",85,60,1,0.0199203187250996
"v",36,60,1,0.00843684087180689
"w",97,60,1,0.0227325990157019
"x",11,60,1,0.00257792359971877
"y",55,60,1,0.0128896179985939
" ",2063,61,1,0.1911246989068
"a",679,61,1,0.062905317769131
"b",142,61,1,0.0131554567352233
"c",352,61,1,0.0326107096535112
"d",372,61,1,0.0344635908838243
"e",1102,61,1,0.102093755790254
"f",212,61,1,0.0196405410413193
"g",146,61,1,0.0135260329812859
"h",562,61,1,0.0520659625717992
"i",656,61,1,0.0607745043542709
"j",12,61,1,0.00111172873818788
"k",93,61,1,0.00861589772095609
"l",293,61,1,0.0271447100240875
"m",212,61,1,0.0196405410413193
"n",597,61,1,0.0553085047248471
"o",617,61,1,0.0571613859551603
"p",187,61,1,0.0173244395034278
"q",21,61,1,0.00194552529182879
"r",508,61,1,0.0470631832499537
"s",554,61,1,0.0513248100796739
"t",793,61,1,0.0734667407819159
"u",227,61,1,0.0210302019640541
"v",70,61,1,0.00648508430609598
"w",194,61,1,0.0179729479340374
"x",16,61,1,0.00148230498425051
"y",112,61,1,0.0103761348897536
"z",2,61,1,0.000185288123031314
" ",12009,62,1,0.208685225732458
"a",3570,62,1,0.0620373266604108
"b",605,62,1,0.0105133284676607
"c",1398,62,1,0.0242936085913878
"d",2150,62,1,0.0373614152156536
"e",5395,62,1,0.0937510860876516
"f",1007,62,1,0.0174990442428666
"g",942,62,1,0.016369513085184
"h",2473,62,1,0.0429743161992145
"i",3303,62,1,0.0573975602126994
"j",39,62,1,0.00067771869460953
"k",515,62,1,0.00894936224933097
"l",1803,62,1,0.0313314565738713
"m",1394,62,1,0.0242240989816842
"n",3271,62,1,0.0568414833350711
"o",3287,62,1,0.0571195217738852
"p",989,62,1,0.0171862509992006
"q",75,62,1,0.0013033051819414
"r",2965,62,1,0.0515239981927502
"s",2899,62,1,0.0503770896326417
"t",3884,62,1,0.0674938310221388
"u",1227,62,1,0.0213220727765614
"v",381,62,1,0.00662079032426233
"w",1065,62,1,0.0185069335835679
"x",77,62,1,0.00133805998679317
"y",808,62,1,0.0140409411601154
"z",15,62,1,0.000260661036388281
" ",5318,63,1,0.205130183220829
"a",1664,63,1,0.0641851494696239
"b",283,63,1,0.0109161041465767
"c",594,63,1,0.0229122468659595
"d",978,63,1,0.0377242044358727
"e",2573,63,1,0.0992478302796529
"f",453,63,1,0.017473481195757
"g",409,63,1,0.0157762777242044
"h",1283,63,1,0.0494889103182257
"i",1458,63,1,0.0562391513982642
"j",23,63,1,0.000887174541947927
"k",193,63,1,0.00744455159112825
"l",832,63,1,0.032092574734812
"m",563,63,1,0.0217164898746384
"n",1472,63,1,0.0567791706846673
"o",1471,63,1,0.0567405978784957
"p",400,63,1,0.0154291224686596
"q",16,63,1,0.000617164898746384
"r",1215,63,1,0.0468659594985535
"s",1299,63,1,0.050106075216972
"t",1785,63,1,0.0688524590163934
"u",549,63,1,0.0211764705882353
"v",167,63,1,0.00644165863066538
"w",507,63,1,0.019556412729026
"x",29,63,1,0.00111861137897782
"y",384,63,1,0.0148119575699132
"z",7,63,1,0.000270009643201543
" ",5376,64,1,0.204131227217497
"a",1657,64,1,0.0629176792223572
"b",297,64,1,0.0112773390036452
"c",596,64,1,0.0226306196840826
"d",941,64,1,0.0357305589307412
"e",2633,64,1,0.0999772174969623
"f",461,64,1,0.0175045565006075
"g",454,64,1,0.0172387606318347
"h",1207,64,1,0.0458308019441069
"i",1442,64,1,0.0547539489671932
"j",42,64,1,0.0015947752126367
"k",249,64,1,0.00945473876063183
"l",843,64,1,0.0320094167679222
"m",607,64,1,0.0230482989064399
"n",1495,64,1,0.0567664034021871
"o",1519,64,1,0.0576777035236938
"p",445,64,1,0.0168970230862697
"q",27,64,1,0.00102521263669502
"r",1225,64,1,0.0465142770352369
"s",1288,64,1,0.048906439854192
"t",1803,64,1,0.0684614216281896
"u",588,64,1,0.0223268529769137
"v",180,64,1,0.00683475091130012
"w",504,64,1,0.0191373025516403
"x",42,64,1,0.0015947752126367
"y",397,64,1,0.0150744228432564
"z",18,64,1,0.000683475091130012
" ",4456,65,1,0.209556057185854
"a",1324,65,1,0.0622648607975922
"b",235,65,1,0.0110515425131678
"c",490,65,1,0.0230436418359669
"d",863,65,1,0.0405850263355907
"e",2022,65,1,0.0950902934537246
"f",314,65,1,0.0147667419112114
"g",326,65,1,0.0153310759969902
"h",1066,65,1,0.0501316779533484
"i",1265,65,1,0.0594902182091798
"j",16,65,1,0.000752445447705041
"k",219,65,1,0.0102990970654628
"l",670,65,1,0.0315086531226486
"m",490,65,1,0.0230436418359669
"n",1162,65,1,0.0546463506395786
"o",1157,65,1,0.0544112114371708
"p",342,65,1,0.0160835214446953
"q",22,65,1,0.00103461249059443
"r",1073,65,1,0.0504608728367193
"s",1011,65,1,0.0475451467268623
"t",1420,65,1,0.0667795334838224
"u",427,65,1,0.0200808878856283
"v",138,65,1,0.00648984198645598
"w",439,65,1,0.0206452219714071
"x",27,65,1,0.00126975169300226
"y",285,65,1,0.013402934537246
"z",5,65,1,0.000235139202407825
" ",6687,66,1,0.203617429432721
"a",2136,66,1,0.0650406504065041
"b",334,66,1,0.0101702140616912
"c",648,66,1,0.0197314332693889
"d",1404,66,1,0.0427514387503426
"e",3366,66,1,0.102493833927103
"f",559,66,1,0.0170214061691179
"g",493,66,1,0.0150117231509394
"h",1845,66,1,0.0561797752808989
"i",1606,66,1,0.0489022867756767
"j",27,66,1,0.000822143052891203
"k",223,66,1,0.00679029262202734
"l",1114,66,1,0.033921013367437
"m",739,66,1,0.0225023598550592
"n",1846,66,1,0.0562102250235985
"o",1889,66,1,0.0575195639596845
"p",468,66,1,0.0142504795834475
"q",22,66,1,0.000669894339392832
"r",1606,66,1,0.0489022867756767
"s",1556,66,1,0.047379799640693
"t",2202,66,1,0.0670503334246826
"u",731,66,1,0.0222587619134618
"v",238,66,1,0.00724703876252246
"w",560,66,1,0.0170518559118175
"x",30,66,1,0.000913492280990226
"y",503,66,1,0.0153162205779361
"z",9,66,1,0.000274047684297068
" ",6307,67,1,0.205983213037656
"a",1882,67,1,0.0614651033671903
"b",332,67,1,0.0108429406577615
"c",657,67,1,0.0214572650968353
"d",1195,67,1,0.039028054475979
"e",3038,67,1,0.0992194389104804
"f",575,67,1,0.0187791893922075
"g",537,67,1,0.0175381299193311
"h",1377,67,1,0.0449720761618603
"i",1690,67,1,0.0551944870831836
"j",35,67,1,0.00114308109343871
"k",260,67,1,0.00849145955125902
"l",1071,67,1,0.0349782814592247
"m",669,67,1,0.0218491786145857
"n",1765,67,1,0.0576439465691237
"o",1740,67,1,0.0568274600738104
"p",462,67,1,0.015088670433391
"q",38,67,1,0.00124105947287632
"r",1477,67,1,0.0482380221431138
"s",1416,67,1,0.0462457950945491
"t",2102,67,1,0.0686501845259479
"u",707,67,1,0.023090238087462
"v",209,67,1,0.00682582710081975
"w",600,67,1,0.0195956758875208
"x",42,67,1,0.00137169731212646
"y",424,67,1,0.0138476109605147
"z",12,67,1,0.000391913517750416
" ",5655,68,1,0.213646152102459
"a",1672,68,1,0.0631682345385167
"b",274,68,1,0.010351732215044
"c",494,68,1,0.0186633420227436
"d",966,68,1,0.0364955230647172
"e",2621,68,1,0.0990214968453663
"f",452,68,1,0.0170765801503646
"g",401,68,1,0.0151497978767615
"h",1273,68,1,0.0480939967509162
"i",1438,68,1,0.0543277041066908
"j",72,68,1,0.00272016320979259
"k",141,68,1,0.00532698628584382
"l",870,68,1,0.0328686387849938
"m",606,68,1,0.0228947070157543
"n",1482,68,1,0.0559900260682308
"o",1444,68,1,0.0545543843741736
"p",442,68,1,0.0166987797045601
"q",17,68,1,0.000642260757867694
"r",1266,68,1,0.047829536438853
"s",1320,68,1,0.0498696588461974
"t",1822,68,1,0.0688352412255846
"u",604,68,1,0.0228191469265934
"v",220,68,1,0.00831160980769957
"w",433,68,1,0.016358759303336
"x",41,68,1,0.00154898182779856
"y",440,68,1,0.0166232196153991
"z",3,68,1,0.000113340133741358
" ",4025,69,1,0.218334689449417
"a",1094,69,1,0.0593436398155682
"b",190,69,1,0.0103064822348793
"c",431,69,1,0.0233794412801736
"d",713,69,1,0.0386764307024681
"e",1786,69,1,0.0968809330078655
"f",287,69,1,0.0155682126390019
"g",287,69,1,0.0155682126390019
"h",996,69,1,0.0540276647681042
"i",1026,69,1,0.0556550040683483
"j",34,69,1,0.00184431787360998
"k",169,69,1,0.00916734472470843
"l",631,69,1,0.0342283699484676
"m",378,69,1,0.0205044751830757
"n",929,69,1,0.0503932736642257
"o",1011,69,1,0.0548413344182262
"p",295,69,1,0.0160021697857337
"q",11,69,1,0.00059669107675617
"r",832,69,1,0.0451315432601031
"s",864,69,1,0.0468673718470301
"t",1215,69,1,0.0659072416598861
"u",372,69,1,0.0201790073230269
"v",116,69,1,0.00629237862761052
"w",418,69,1,0.0226742609167345
"x",33,69,1,0.00179007323026851
"y",290,69,1,0.0157309465690263
"z",2,69,1,0.00010848928668294
" ",6733,70,1,0.22768929018295
"a",1898,70,1,0.0641845050894457
"b",295,70,1,0.0099759899901931
"c",561,70,1,0.0189712894389774
"d",1087,70,1,0.03675898684522
"e",2828,70,1,0.0956342362449697
"f",446,70,1,0.0150823441885631
"g",415,70,1,0.0140340198167123
"h",1332,70,1,0.0450441310743634
"i",1542,70,1,0.052145683270772
"j",46,70,1,0.0015555781001657
"k",204,70,1,0.00689865070508268
"l",1009,70,1,0.0341212674579825
"m",667,70,1,0.0225558824524027
"n",1588,70,1,0.0537012613709377
"o",1630,70,1,0.0551215718102195
"p",411,70,1,0.0138987521558283
"q",37,70,1,0.00125122586317676
"r",1428,70,1,0.0482905549355788
"s",1444,70,1,0.0488316255791147
"t",1976,70,1,0.0668222244766832
"u",624,70,1,0.0211017550979
"v",194,70,1,0.00656048155287275
"w",563,70,1,0.0190389232694194
"x",27,70,1,0.000913056710966826
"y",576,70,1,0.0194785431672923
"z",10,70,1,0.000338169152209935
" ",8161,71,1,0.203790640763122
"a",2507,71,1,0.0626030065424762
"b",406,71,1,0.0101383409079559
"c",830,71,1,0.0207261649103531
"d",1626,71,1,0.0406033061978724
"e",3982,71,1,0.0994356490036458
"f",707,71,1,0.0176546970983369
"g",650,71,1,0.0162313339659392
"h",2047,71,1,0.0511162163511961
"i",2343,71,1,0.0585077161264546
"j",24,71,1,0.000599310792588523
"k",337,71,1,0.00841532237926385
"l",1220,71,1,0.0304649652899166
"m",990,71,1,0.0247215701942766
"n",2252,71,1,0.0562353293712231
"o",2201,71,1,0.0549617939369725
"p",598,71,1,0.014932827248664
"q",30,71,1,0.000749138490735654
"r",1911,71,1,0.0477201218598612
"s",1884,71,1,0.0470458972181991
"t",2796,71,1,0.069819707336563
"u",810,71,1,0.0202267392498627
"v",288,71,1,0.00719172951106228
"w",824,71,1,0.020576337212206
"x",48,71,1,0.00119862158517705
"y",561,71,1,0.0140088897767567
"z",13,71,1,0.000324626679318783
" ",2750,72,1,0.21735693961429
"a",810,72,1,0.0640214985773
"b",148,72,1,0.0116977552956054
"c",325,72,1,0.0256876383180525
"d",446,72,1,0.0352513436610812
"e",1108,72,1,0.0875750869427758
"f",159,72,1,0.0125671830540626
"g",172,72,1,0.0135946885867847
"h",519,72,1,0.0410211824217515
"i",779,72,1,0.0615712930761935
"j",3,72,1,0.000237116661397408
"k",170,72,1,0.0134366108125198
"l",439,72,1,0.034698071451154
"m",333,72,1,0.0263199494151122
"n",648,72,1,0.05121719886184
"o",697,72,1,0.055090104331331
"p",229,72,1,0.0180999051533354
"q",13,72,1,0.0010275055327221
"r",625,72,1,0.0493993044577932
"s",619,72,1,0.0489250711349984
"t",837,72,1,0.0661555485298767
"u",265,72,1,0.0209453050901043
"v",98,72,1,0.00774581093898198
"w",248,72,1,0.0196016440088524
"x",28,72,1,0.00221308883970914
"y",182,72,1,0.0143850774581094
"z",2,72,1,0.000158077774264938
" ",8382,73,1,0.208191550135367
"a",2409,73,1,0.0598345793696133
"b",463,73,1,0.0114999627431013
"c",931,73,1,0.023124115148655
"d",1395,73,1,0.0346489158242468
"e",4077,73,1,0.101264250763766
"f",754,73,1,0.0187278010978366
"g",515,73,1,0.0127915352326072
"h",1897,73,1,0.0471175579344775
"i",2256,73,1,0.0560343756985669
"j",18,73,1,0.000447082784828991
"k",392,73,1,0.0097364695362758
"l",1241,73,1,0.0308238742207099
"m",946,73,1,0.0234966841360125
"n",2166,73,1,0.0537989617744219
"o",2264,73,1,0.0562330791584908
"p",725,73,1,0.0180075010556121
"q",49,73,1,0.00121705869203448
"r",1930,73,1,0.047937209706664
"s",1942,73,1,0.04823526489655
"t",2872,73,1,0.0713345421127145
"u",870,73,1,0.0216090012667346
"v",260,73,1,0.00645786244752987
"w",789,73,1,0.0195971287350041
"x",54,73,1,0.00134124835448697
"y",614,73,1,0.0152504905491667
"z",50,73,1,0.00124189662452497
" ",8110,74,1,0.217741502443215
"a",2429,74,1,0.0652150566503786
"b",410,74,1,0.0110078934650701
"c",654,74,1,0.0175589325028191
"d",1404,74,1,0.0376953229877034
"e",3404,74,1,0.0913923642807281
"f",595,74,1,0.0159748697846749
"g",629,74,1,0.0168877194866563
"h",1881,74,1,0.0505020673360898
"i",1983,74,1,0.053240616442034
"j",16,74,1,0.000429576330344198
"k",242,74,1,0.006497341996456
"l",1263,74,1,0.0339096815765451
"m",936,74,1,0.0251302153251356
"n",1929,74,1,0.0517907963271224
"o",2263,74,1,0.0607582022230575
"p",473,74,1,0.0126993502658004
"q",32,74,1,0.000859152660688396
"r",1573,74,1,0.042232722976964
"s",1743,74,1,0.0467969714868711
"t",2806,74,1,0.0753369489341137
"u",790,74,1,0.0212103313107448
"v",279,74,1,0.00749073726037695
"w",778,74,1,0.0208881490629866
"x",45,74,1,0.00120818342909306
"y",561,74,1,0.0150620200826934
"z",18,74,1,0.000483273371637223
" ",4569,76,1,0.217851523387212
"a",1317,76,1,0.0627950221713632
"b",201,76,1,0.00958375053640395
"c",531,76,1,0.0253182663424403
"d",686,76,1,0.0327087207361846
"e",1937,76,1,0.0923568397463405
"f",332,76,1,0.0158298765078911
"g",344,76,1,0.0164020407190197
"h",861,76,1,0.0410527821484766
"i",1243,76,1,0.0592666762027369
"j",20,76,1,0.000953607018547657
"k",228,76,1,0.0108711200114433
"l",639,76,1,0.0304677442425976
"m",538,76,1,0.025652028798932
"n",1122,76,1,0.0534973537405235
"o",1112,76,1,0.0530205502312497
"p",394,76,1,0.0187860582653888
"q",22,76,1,0.00104896772040242
"r",1085,76,1,0.0517331807562104
"s",999,76,1,0.0476326705764554
"t",1360,76,1,0.0648452772612406
"u",491,76,1,0.023411052305345
"v",163,76,1,0.0077718972011634
"w",419,76,1,0.0199780670385734
"x",33,76,1,0.00157345158060363
"y",316,76,1,0.015066990893053
"z",11,76,1,0.000524483860201211
" ",1790,77,1,0.215558766859345
"a",491,77,1,0.0591281310211946
"b",82,77,1,0.0098747591522158
"c",208,77,1,0.0250481695568401
"d",302,77,1,0.0363680154142582
"e",767,77,1,0.0923651252408478
"f",147,77,1,0.0177023121387283
"g",150,77,1,0.0180635838150289
"h",369,77,1,0.0444364161849711
"i",433,77,1,0.0521435452793834
"j",8,77,1,0.000963391136801541
"k",87,77,1,0.0104768786127168
"l",270,77,1,0.032514450867052
"m",223,77,1,0.026854527938343
"n",436,77,1,0.052504816955684
"o",496,77,1,0.0597302504816956
"p",135,77,1,0.016257225433526
"q",9,77,1,0.00108381502890173
"r",428,77,1,0.0515414258188825
"s",421,77,1,0.0506984585741811
"t",526,77,1,0.0633429672447013
"u",194,77,1,0.0233622350674374
"v",57,77,1,0.00686416184971098
"w",153,77,1,0.0184248554913295
"x",11,77,1,0.00132466281310212
"y",104,77,1,0.01252408477842
"z",7,77,1,0.000842967244701349
" ",8857,78,1,0.223328878690839
"a",2356,78,1,0.0594064399001488
"b",436,78,1,0.0109937214755793
"c",842,78,1,0.0212309942257747
"d",1340,78,1,0.0337880430671474
"e",3703,78,1,0.0933709876698858
"f",553,78,1,0.0139438715045765
"g",614,78,1,0.0154819839128571
"h",1862,78,1,0.0469502508888273
"i",2384,78,1,0.0601124587105071
"j",51,78,1,0.00128596283315263
"k",414,78,1,0.0104389924102978
"l",1235,78,1,0.0311404725283038
"m",940,78,1,0.0237020600620288
"n",1985,78,1,0.0500516906629012
"o",2156,78,1,0.0543634483975894
"p",652,78,1,0.0164401522983434
"q",36,78,1,0.000907738470460677
"r",2002,78,1,0.0504803449406188
"s",2017,78,1,0.0508585693033107
"t",2680,78,1,0.0675760861342949
"u",799,78,1,0.0201467510527245
"v",284,78,1,0.00716104793363423
"w",811,78,1,0.020449330542878
"x",28,78,1,0.000706018810358305
"y",611,78,1,0.0154063390403187
"z",11,78,1,0.000277364532640762
" ",3901,79,1,0.199733756592084
"a",1287,79,1,0.0658952434591163
"b",315,79,1,0.0161282064410424
"c",345,79,1,0.0176642261020941
"d",741,79,1,0.037939685627976
"e",1827,79,1,0.0935435973580462
"f",330,79,1,0.0168962162715683
"g",311,79,1,0.0159234038195689
"h",1060,79,1,0.054272694690492
"i",1142,79,1,0.0584711484306999
"j",7,79,1,0.000358404587578721
"k",172,79,1,0.00880651272336286
"l",677,79,1,0.0346628436843992
"m",378,79,1,0.0193538477292509
"n",1163,79,1,0.0595463621934361
"o",1180,79,1,0.0604167733346987
"p",358,79,1,0.0183298346218832
"q",5,79,1,0.000256003276841944
"r",844,79,1,0.0432133531309201
"s",909,79,1,0.0465413957298653
"t",1386,79,1,0.0709641083405868
"u",403,79,1,0.0206338641134607
"v",140,79,1,0.00716809175157442
"w",370,79,1,0.0189442424863038
"x",27,79,1,0.0013824176949465
"y",252,79,1,0.012902565152834
"z",1,79,1,5.12006553683887e-05
" ",4786,80,1,0.222408104465821
"a",1331,80,1,0.0618523165574608
"b",203,80,1,0.00943352386263302
"c",456,80,1,0.0211905757702495
"d",819,80,1,0.0380593893768298
"e",1983,80,1,0.0921511222640457
"f",357,80,1,0.0165899902411822
"g",301,80,1,0.0139876388308007
"h",925,80,1,0.0429852688321948
"i",1201,80,1,0.0558111436405037
"j",18,80,1,0.000836470096194061
"k",182,80,1,0.00845764208373995
"l",659,80,1,0.0306240996328826
"m",548,80,1,0.0254658673730192
"n",1116,80,1,0.0518611459640318
"o",1269,80,1,0.0589711417816813
"p",388,80,1,0.018030577629072
"q",22,80,1,0.00102235233979274
"r",1053,80,1,0.0489335006273526
"s",1041,80,1,0.0483758538965565
"t",1476,80,1,0.068590547887913
"u",454,80,1,0.0210976346484502
"v",149,80,1,0.00692411357405084
"w",434,80,1,0.0201682234304568
"x",26,80,1,0.00120823458339142
"y",318,80,1,0.0147776383660951
"z",4,80,1,0.00018588224359868
" ",6540,81,1,0.222207121500408
"a",1840,81,1,0.0625169883120413
"b",332,81,1,0.0112802391954335
"c",633,81,1,0.0215072030443055
"d",1030,81,1,0.0349959228051101
"e",2758,81,1,0.0937075292198967
"f",454,81,1,0.0154253873335145
"g",506,81,1,0.0171921717858114
"h",1347,81,1,0.0457665126393042
"i",1743,81,1,0.0592212557760261
"j",24,81,1,0.000815438977983148
"k",320,81,1,0.010872519706442
"l",1027,81,1,0.0348939929328622
"m",644,81,1,0.0218809459092145
"n",1527,81,1,0.0518823049741778
"o",1571,81,1,0.0533772764338135
"p",505,81,1,0.0171581951617287
"q",27,81,1,0.000917368850231041
"r",1338,81,1,0.0454607230225605
"s",1338,81,1,0.0454607230225605
"t",1954,81,1,0.0663903234574613
"u",610,81,1,0.020725740690405
"v",179,81,1,0.00608181571079098
"w",663,81,1,0.0225265017667845
"x",41,81,1,0.00139304158738788
"y",474,81,1,0.0161049198151672
"z",7,81,1,0.000237836368578418
" ",7930,83,1,0.226409707351892
"<U+FFFD>",1,83,1,2.85510349750178e-05
"a",2138,83,1,0.0610421127765882
"b",343,83,1,0.00979300499643112
"c",864,83,1,0.0246680942184154
"d",1315,83,1,0.0375446109921485
"e",3096,83,1,0.0883940042826552
"f",568,83,1,0.0162169878658101
"g",604,83,1,0.0172448251249108
"h",1457,83,1,0.041598857958601
"i",2119,83,1,0.0604996431120628
"j",40,83,1,0.00114204139900071
"k",422,83,1,0.0120485367594575
"l",1114,83,1,0.0318058529621699
"m",806,83,1,0.0230121341898644
"n",1770,83,1,0.0505353319057816
"o",1996,83,1,0.0569878658101356
"p",623,83,1,0.0177872947894361
"q",28,83,1,0.0007994289793005
"r",1656,83,1,0.0472805139186296
"s",1724,83,1,0.0492219842969308
"t",2172,83,1,0.0620128479657388
"u",711,83,1,0.0202997858672377
"v",209,83,1,0.00596716630977873
"w",748,83,1,0.0213561741613133
"x",32,83,1,0.000913633119200571
"y",527,83,1,0.0150463954318344
"z",12,83,1,0.000342612419700214
" ",8389,84,1,0.209787936380914
"a",2504,84,1,0.0626187856356907
"b",401,84,1,0.0100280084025208
"c",763,84,1,0.0190807242172652
"d",1571,84,1,0.0392867860358107
"e",4052,84,1,0.101330399119736
"f",786,84,1,0.0196558967690307
"g",657,84,1,0.0164299289786936
"h",2224,84,1,0.0556166850055017
"i",2176,84,1,0.0544163248974692
"j",24,84,1,0.000600180054016205
"k",226,84,1,0.0056516955086526
"l",1236,84,1,0.0309092727818346
"m",799,84,1,0.0199809942982895
"n",2229,84,1,0.055741722516755
"o",2320,84,1,0.0580174052215665
"p",589,84,1,0.0147294188256477
"q",32,84,1,0.000800240072021606
"r",1843,84,1,0.0460888266479944
"s",1994,84,1,0.0498649594878464
"t",2754,84,1,0.0688706611983595
"u",752,84,1,0.0188056416925078
"v",303,84,1,0.00757727318195459
"w",722,84,1,0.0180554166249875
"x",43,84,1,0.00107532259677903
"y",594,84,1,0.0148544563369011
"z",5,84,1,0.000125037511253376
" ",7657,85,1,0.22214163451217
"a",2107,85,1,0.0611273898285416
"b",365,85,1,0.0105892251008152
"c",776,85,1,0.0225129826800894
"d",1157,85,1,0.0335663929908033
"e",3157,85,1,0.091589544228147
"f",514,85,1,0.0149119498679973
"g",552,85,1,0.0160143897415069
"h",1647,85,1,0.0477820650439525
"i",2109,85,1,0.0611854129797789
"j",25,85,1,0.000725289390466796
"k",392,85,1,0.0113725376425194
"l",1024,85,1,0.02970785343352
"m",871,85,1,0.0252690823638632
"n",1724,85,1,0.0500159563665903
"o",1841,85,1,0.0534103107139749
"p",628,85,1,0.0182192694885259
"q",36,85,1,0.00104441672227219
"r",1660,85,1,0.0481592155269953
"s",1717,85,1,0.0498128753372596
"t",2297,85,1,0.0666395891960892
"u",715,85,1,0.0207432765673504
"v",224,85,1,0.00649859293858249
"w",701,85,1,0.020337114508689
"x",44,85,1,0.00127650932722156
"y",518,85,1,0.015027996170472
"z",11,85,1,0.00031912733180539
" ",4053,86,1,0.227390035906643
"a",1132,86,1,0.0635098743267505
"b",206,86,1,0.0115574506283662
"c",328,86,1,0.0184021543985637
"d",569,86,1,0.031923249551167
"e",1698,86,1,0.0952648114901257
"f",268,86,1,0.0150359066427289
"g",261,86,1,0.0146431777378815
"h",798,86,1,0.0447710951526032
"i",937,86,1,0.0525695691202873
"j",32,86,1,0.00179533213644524
"k",137,86,1,0.00768626570915619
"l",622,86,1,0.0348967684021544
"m",449,86,1,0.0251907540394973
"n",846,86,1,0.0474640933572711
"o",1057,86,1,0.0593020646319569
"p",243,86,1,0.0136333034111311
"q",13,86,1,0.00072935368043088
"r",903,86,1,0.0506620287253142
"s",848,86,1,0.0475763016157989
"t",1176,86,1,0.0659784560143627
"u",365,86,1,0.0204780071813285
"v",139,86,1,0.00779847396768402
"w",377,86,1,0.0211512567324955
"x",23,86,1,0.00129039497307002
"y",344,86,1,0.0192998204667864
" ",7012,87,1,0.210028155514287
"a",2045,87,1,0.0612532199125382
"b",340,87,1,0.0101839094231115
"c",780,87,1,0.0233630863236087
"d",1241,87,1,0.0371712693943569
"e",3051,87,1,0.0913856107350386
"f",491,87,1,0.0147067633139639
"g",548,87,1,0.0164140657760738
"h",1500,87,1,0.044929012160786
"i",2056,87,1,0.0615826993350506
"j",60,87,1,0.00179716048643144
"k",344,87,1,0.0103037201222069
"l",924,87,1,0.0276762714910441
"m",986,87,1,0.0295333373270233
"n",1783,87,1,0.0534056191217876
"o",1737,87,1,0.0520277960821901
"p",616,87,1,0.0184508476606961
"q",27,87,1,0.000808722218894147
